Year,Haddock_GOM_com_mt,Haddock_NMFS_Fall_numtow,Haddock_NMFS_Spring_numtow,Shortfinsquid_landings_mt,Shortfinsquid_DFObts_spring_numtow,Shortfinsquid_DFObts_fall_numtow
1963,,69.55,,810,,
1964,,14.18,,360,,
1965,,17.46,,522,,
1966,,10.74,,570,,
1967,,12.19,,995,,
1968,,8.56,6.066,3271,,
1969,,5.45,3.719,1537,,
1970,,2.92,0.906,2826,,
1971,,2.88,0.878,6614,,
1972,,1.98,0.862,17641,,
1973,,4.16,1.312,19155,,
1974,,2.69,1.437,20628,,
1975,,5.53,2.77,17926,,
1976,,6.04,8.326,24936,,
1977,3230,8.3,6.799,24795,,
1978,4382,9.77,1.356,17592,,
1979,4131,6.17,2.87,17341,,
1980,6318,7.15,2.212,17828,,
1981,5713,4.46,3.612,15571,,
1982,5634,2.63,2.047,18633,,
1983,5593,2.6,3.678,11584,,
1984,2793,1.7,1.095,9919,,
1985,2259,4.08,1.773,6115,,
1986,1629,0.62,0.707,7470,,
1987,846,1.03,0.092,10102,,
1988,418,0.33,0.187,1958,,
1989,265,0.28,0.083,6801,,
1990,465,0.14,0.024,11670,,
1991,443,0.14,0.074,11908,,
1992,313,0.21,0.193,17827,,
1993,193,0.87,0.45,18012,,
1994,122,0.33,0.402,18350,,
1995,178,0.98,0.806,13976,,0.13
1996,254,2.41,0.305,16969,0.66,0.16
1997,624,2.69,1.935,13356,0.18,0.98
1998,923,3.13,0.197,23568,0.77,0.4
1999,569,6.73,4.267,7388,0.02,0.01
2000,799,16.59,3.61,9011,0,0.32
2001,1007,9.96,2.364,4009,0,0.17
2002,1009,3.92,5.704,2750,0.01,0.61
2003,1026,4.73,3.191,6391,0.29,0.7
2004,947,5.7,1.061,26097,1.27,0.08
2005,978,4.13,0.862,12011,1.81,0.09
2006,623,3.91,3.151,13944,0.3,0.57
2007,678,5.15,0.77,9022,1.54,0.22
2008,543,2.27,1.689,15900,5.99,0.11
2009,500,1.58,1.442,18418,0.15,0.01
2010,623,2.05,1.632,15825,0.05,0
2011,499,4.31,1.039,18797,0.04,0
2012,417,4.37,2.538,11709,0.02,0.22
2013,212,26.89,9.493,3792,0.01,0.01
2014,314,44.46,8.986,8767,0.01,
2015,651,54.27,74.263,2422,0,0.09
2016,1342,70.25,46.985,6684,0.01,0.11
2017,2273,52.41,39.941,22516,0.65,0.91
2018,2542,42.93,37.895,24117,14.64,1.65
2019,3464,23.71,17.883,27164,0.48,1.04
2020,,,,28135,,
2021,,,,,,
2022,,,,,,
